# Goxel 0.10.6
# One line per voxel
# X Y Z RRGGBB
-2 -1 7 6abe30
-1 -1 7 6abe30
-4 -9 8 6abe30
-3 -9 8 6abe30
-2 -9 8 6abe30
-1 -9 8 6abe30
-4 -8 8 6abe30
-3 -8 8 6abe30
-2 -8 8 6abe30
-1 -8 8 6abe30
-4 -7 8 6abe30
-3 -7 8 6abe30
-2 -7 8 6abe30
-1 -7 8 6abe30
-4 -6 8 6abe30
-3 -6 8 6abe30
-2 -6 8 6abe30
-1 -6 8 6abe30
-4 -5 8 6abe30
-3 -5 8 6abe30
-2 -5 8 6abe30
-1 -5 8 6abe30
-4 -4 8 6abe30
-3 -4 8 6abe30
-2 -4 8 6abe30
-1 -4 8 6abe30
-4 -3 8 6abe30
-3 -3 8 6abe30
-2 -3 8 6abe30
-1 -3 8 6abe30
-4 -2 8 6abe30
-3 -2 8 6abe30
-2 -2 8 6abe30
-1 -2 8 6abe30
-4 -1 8 6abe30
-3 -1 8 6abe30
-2 -1 8 6abe30
-1 -1 8 6abe30
-4 -9 9 8f563b
-3 -9 9 8f563b
-2 -9 9 8f563b
-1 -9 9 8f563b
-4 -8 9 8f563b
-3 -8 9 8f563b
-2 -8 9 8f563b
-1 -8 9 8f563b
-4 -7 9 8f563b
-3 -7 9 8f563b
-2 -7 9 8f563b
-1 -7 9 8f563b
-4 -6 9 8f563b
-3 -6 9 8f563b
-2 -6 9 8f563b
-1 -6 9 8f563b
-4 -5 9 8f563b
-3 -5 9 8f563b
-2 -5 9 8f563b
-1 -5 9 8f563b
-4 -4 9 8f563b
-3 -4 9 8f563b
-2 -4 9 8f563b
-1 -4 9 8f563b
-4 -3 9 8f563b
-3 -3 9 8f563b
-2 -3 9 8f563b
-1 -3 9 8f563b
-4 -2 9 8f563b
-3 -2 9 8f563b
-2 -2 9 8f563b
-1 -2 9 8f563b
-4 -1 9 8f563b
-3 -1 9 8f563b
-2 -1 9 8f563b
-1 -1 9 8f563b
-4 -9 10 6abe30
-3 -9 10 6abe30
-2 -9 10 6abe30
-1 -9 10 6abe30
-4 -8 10 6abe30
-3 -8 10 6abe30
-2 -8 10 6abe30
-1 -8 10 6abe30
-4 -7 10 6abe30
-3 -7 10 6abe30
-2 -7 10 6abe30
-1 -7 10 6abe30
-4 -6 10 6abe30
-3 -6 10 6abe30
-2 -6 10 6abe30
-1 -6 10 6abe30
-4 -5 10 6abe30
-3 -5 10 6abe30
-2 -5 10 6abe30
-1 -5 10 6abe30
-4 -4 10 6abe30
-3 -4 10 6abe30
-2 -4 10 6abe30
-1 -4 10 6abe30
-4 -3 10 6abe30
-3 -3 10 6abe30
-2 -3 10 6abe30
-1 -3 10 6abe30
-4 -2 10 6abe30
-3 -2 10 6abe30
-2 -2 10 6abe30
-1 -2 10 6abe30
-4 -1 10 6abe30
-3 -1 10 6abe30
-2 -1 10 6abe30
-1 -1 10 6abe30
-2 -15 11 8f563b
-1 -15 11 8f563b
-3 -14 11 8f563b
-2 -14 11 8f563b
-1 -14 11 8f563b
-4 -13 11 8f563b
-3 -13 11 8f563b
-2 -13 11 8f563b
-1 -13 11 8f563b
-4 -12 11 8f563b
-3 -12 11 8f563b
-2 -12 11 8f563b
-1 -12 11 8f563b
-4 -11 11 8f563b
-3 -11 11 8f563b
-2 -11 11 8f563b
-1 -11 11 8f563b
-4 -10 11 8f563b
-3 -10 11 8f563b
-2 -10 11 8f563b
-1 -10 11 8f563b
-4 -9 11 6abe30
-3 -9 11 6abe30
-2 -9 11 6abe30
-1 -9 11 6abe30
-4 -8 11 6abe30
-3 -8 11 6abe30
-2 -8 11 6abe30
-1 -8 11 6abe30
-4 -7 11 6abe30
-3 -7 11 6abe30
-2 -7 11 6abe30
-1 -7 11 6abe30
-4 -6 11 6abe30
-3 -6 11 6abe30
-2 -6 11 6abe30
-1 -6 11 6abe30
-4 -5 11 6abe30
-3 -5 11 6abe30
-2 -5 11 6abe30
-1 -5 11 6abe30
-4 -4 11 6abe30
-3 -4 11 6abe30
-2 -4 11 6abe30
-1 -4 11 6abe30
-4 -3 11 6abe30
-3 -3 11 6abe30
-2 -3 11 6abe30
-1 -3 11 6abe30
-4 -2 11 6abe30
-3 -2 11 6abe30
-2 -2 11 6abe30
-1 -2 11 6abe30
-4 -1 11 6abe30
-3 -1 11 6abe30
-2 -1 11 6abe30
-1 -1 11 6abe30
-2 -15 12 8f563b
-1 -15 12 8f563b
-3 -14 12 8f563b
-2 -14 12 8f563b
-1 -14 12 8f563b
-4 -13 12 8f563b
-3 -13 12 8f563b
-2 -13 12 8f563b
-1 -13 12 8f563b
-4 -12 12 8f563b
-3 -12 12 8f563b
-2 -12 12 8f563b
-1 -12 12 8f563b
-4 -11 12 8f563b
-3 -11 12 8f563b
-2 -11 12 8f563b
-1 -11 12 8f563b
-4 -10 12 8f563b
-3 -10 12 8f563b
-2 -10 12 8f563b
-1 -10 12 8f563b
-4 -9 12 6abe30
-3 -9 12 6abe30
-2 -9 12 6abe30
-1 -9 12 6abe30
-4 -8 12 6abe30
-3 -8 12 6abe30
-2 -8 12 6abe30
-1 -8 12 6abe30
-4 -7 12 6abe30
-3 -7 12 6abe30
-2 -7 12 6abe30
-1 -7 12 6abe30
-4 -6 12 6abe30
-3 -6 12 6abe30
-2 -6 12 6abe30
-1 -6 12 6abe30
-4 -5 12 6abe30
-3 -5 12 6abe30
-2 -5 12 6abe30
-1 -5 12 6abe30
-4 -4 12 6abe30
-3 -4 12 6abe30
-2 -4 12 6abe30
-1 -4 12 6abe30
-4 -3 12 6abe30
-3 -3 12 6abe30
-2 -3 12 6abe30
-1 -3 12 6abe30
-4 -2 12 6abe30
-3 -2 12 6abe30
-2 -2 12 6abe30
-1 -2 12 6abe30
-4 -1 12 6abe30
-3 -1 12 6abe30
-2 -1 12 6abe30
-1 -1 12 6abe30
-2 -15 13 8f563b
-1 -15 13 8f563b
-3 -14 13 8f563b
-2 -14 13 8f563b
-1 -14 13 8f563b
-4 -13 13 8f563b
-3 -13 13 8f563b
-2 -13 13 8f563b
-1 -13 13 8f563b
-4 -12 13 8f563b
-3 -12 13 8f563b
-2 -12 13 8f563b
-1 -12 13 8f563b
-4 -11 13 8f563b
-3 -11 13 8f563b
-2 -11 13 8f563b
-1 -11 13 8f563b
-4 -10 13 8f563b
-3 -10 13 8f563b
-2 -10 13 8f563b
-1 -10 13 8f563b
-4 -9 13 6abe30
-3 -9 13 6abe30
-2 -9 13 6abe30
-1 -9 13 6abe30
-4 -8 13 6abe30
-3 -8 13 6abe30
-2 -8 13 6abe30
-1 -8 13 6abe30
-5 -7 13 df7126
-4 -7 13 6abe30
-3 -7 13 6abe30
-2 -7 13 6abe30
-1 -7 13 6abe30
-5 -6 13 df7126
-4 -6 13 6abe30
-3 -6 13 6abe30
-2 -6 13 6abe30
-1 -6 13 6abe30
-5 -5 13 df7126
-4 -5 13 6abe30
-3 -5 13 6abe30
-2 -5 13 6abe30
-1 -5 13 6abe30
-5 -4 13 df7126
-4 -4 13 6abe30
-3 -4 13 6abe30
-2 -4 13 6abe30
-1 -4 13 8f563b
-5 -3 13 df7126
-4 -3 13 6abe30
-3 -3 13 6abe30
-2 -3 13 6abe30
-1 -3 13 8f563b
-4 -2 13 6abe30
-3 -2 13 6abe30
-2 -2 13 6abe30
-1 -2 13 6abe30
-4 -1 13 6abe30
-3 -1 13 6abe30
-2 -1 13 6abe30
-1 -1 13 6abe30
-4 -9 14 6abe30
-3 -9 14 6abe30
-2 -9 14 6abe30
-1 -9 14 6abe30
-4 -8 14 6abe30
-3 -8 14 6abe30
-2 -8 14 6abe30
-1 -8 14 6abe30
-5 -7 14 df7126
-4 -7 14 6abe30
-3 -7 14 6abe30
-2 -7 14 6abe30
-1 -7 14 6abe30
-5 -6 14 df7126
-4 -6 14 6abe30
-3 -6 14 6abe30
-2 -6 14 6abe30
-1 -6 14 6abe30
-5 -5 14 df7126
-4 -5 14 8f563b
-3 -5 14 8f563b
-2 -5 14 8f563b
-1 -5 14 8f563b
-5 -4 14 df7126
-4 -4 14 8f563b
-3 -4 14 8f563b
-2 -4 14 8f563b
-1 -4 14 8f563b
-5 -3 14 df7126
-4 -3 14 8f563b
-3 -3 14 8f563b
-2 -3 14 8f563b
-1 -3 14 8f563b
-4 -2 14 df7126
-3 -2 14 8f563b
-2 -2 14 8f563b
-1 -2 14 8f563b
-4 -1 14 6abe30
-3 -1 14 6abe30
-2 -1 14 6abe30
-1 -1 14 6abe30
-5 -7 15 df7126
-5 -6 15 df7126
-4 -6 15 df7126
-3 -6 15 eec39a
-2 -6 15 eec39a
-1 -6 15 eec39a
-5 -5 15 df7126
-4 -5 15 eec39a
-3 -5 15 eec39a
-2 -5 15 eec39a
-1 -5 15 eec39a
-5 -4 15 df7126
-4 -4 15 eec39a
-3 -4 15 eec39a
-2 -4 15 eec39a
-1 -4 15 eec39a
-5 -3 15 df7126
-4 -3 15 eec39a
-3 -3 15 eec39a
-2 -3 15 eec39a
-1 -3 15 eec39a
-5 -2 15 df7126
-4 -2 15 eec39a
-3 -2 15 eec39a
-2 -2 15 eec39a
-1 -2 15 eec39a
-5 -1 15 df7126
-4 -1 15 df7126
-3 -1 15 eec39a
-2 -1 15 eec39a
-1 -1 15 eec39a
0 -8 0 45283c
0 -7 0 45283c
1 -7 0 45283c
0 -6 0 45283c
0 -1 0 45283c
0 -7 1 45283c
6 -1 9 45283c
5 -14 10 fbf236
6 -1 10 45283c
0 -15 11 8f563b
1 -15 11 8f563b
2 -15 11 8f563b
3 -15 11 8f563b
4 -15 11 eec39a
5 -15 11 eec39a
0 -14 11 8f563b
1 -14 11 8f563b
2 -14 11 8f563b
3 -14 11 8f563b
4 -14 11 eec39a
5 -14 11 eec39a
0 -13 11 8f563b
1 -13 11 8f563b
2 -13 11 8f563b
3 -13 11 8f563b
4 -13 11 eec39a
5 -13 11 eec39a
6 -1 11 45283c
0 -15 12 8f563b
1 -15 12 8f563b
2 -15 12 8f563b
3 -15 12 8f563b
4 -15 12 eec39a
5 -15 12 eec39a
0 -14 12 8f563b
1 -14 12 8f563b
2 -14 12 8f563b
3 -14 12 8f563b
4 -14 12 eec39a
5 -14 12 eec39a
0 -13 12 8f563b
1 -13 12 8f563b
2 -13 12 8f563b
3 -13 12 8f563b
4 -13 12 eec39a
5 -13 12 eec39a
6 -1 12 45283c
0 -15 13 8f563b
1 -15 13 8f563b
2 -15 13 8f563b
3 -15 13 8f563b
4 -15 13 eec39a
5 -15 13 eec39a
0 -14 13 8f563b
1 -14 13 8f563b
2 -14 13 8f563b
3 -14 13 8f563b
4 -14 13 eec39a
5 -14 13 eec39a
0 -13 13 8f563b
1 -13 13 8f563b
2 -13 13 8f563b
3 -13 13 8f563b
4 -13 13 eec39a
5 -13 13 eec39a
6 -1 13 45283c
5 -16 14 fbf236
5 -15 14 fbf236
5 -14 14 fbf236
5 -13 14 fbf236
5 -12 14 fbf236
6 -1 14 45283c
5 -15 15 cbdbfc
5 -14 15 cbdbfc
5 -13 15 ffffff
0 -5 15 eec39a
0 -4 15 eec39a
0 -3 15 eec39a
0 -2 15 eec39a
-3 0 0 45283c
-2 0 0 45283c
-1 0 0 45283c
-3 1 0 45283c
-2 1 0 45283c
-1 1 0 45283c
-3 0 1 45283c
-2 0 1 45283c
-1 0 1 45283c
-3 1 1 45283c
-2 1 1 45283c
-1 1 1 45283c
-3 0 2 45283c
-2 0 2 45283c
-3 1 2 45283c
-2 1 2 45283c
-3 0 3 45283c
-2 0 3 45283c
-3 1 3 45283c
-2 1 3 45283c
-3 0 4 8f563b
-2 0 4 8f563b
-3 1 4 8f563b
-2 1 4 8f563b
-3 0 5 eec39a
-2 0 5 eec39a
-3 1 5 eec39a
-2 1 5 eec39a
-4 0 6 6abe30
-3 0 6 6abe30
-2 0 6 6abe30
-1 0 6 6abe30
-4 1 6 6abe30
-3 1 6 6abe30
-2 1 6 6abe30
-1 1 6 6abe30
-4 2 6 6abe30
-3 2 6 6abe30
-2 2 6 6abe30
-1 2 6 6abe30
-4 0 7 6abe30
-3 0 7 6abe30
-2 0 7 6abe30
-1 0 7 6abe30
-4 1 7 6abe30
-3 1 7 6abe30
-2 1 7 6abe30
-1 1 7 6abe30
-4 2 7 6abe30
-3 2 7 6abe30
-2 2 7 6abe30
-1 2 7 6abe30
-4 0 8 6abe30
-3 0 8 6abe30
-2 0 8 6abe30
-1 0 8 6abe30
-4 1 8 6abe30
-3 1 8 6abe30
-2 1 8 6abe30
-1 1 8 6abe30
-4 2 8 6abe30
-3 2 8 6abe30
-2 2 8 6abe30
-1 2 8 6abe30
-4 0 9 8f563b
-3 0 9 8f563b
-2 0 9 8f563b
-1 0 9 8f563b
-4 1 9 8f563b
-3 1 9 8f563b
-2 1 9 8f563b
-1 1 9 8f563b
-4 2 9 8f563b
-3 2 9 8f563b
-2 2 9 8f563b
-1 2 9 8f563b
-4 0 10 6abe30
-3 0 10 6abe30
-2 0 10 6abe30
-1 0 10 6abe30
-4 1 10 6abe30
-3 1 10 6abe30
-2 1 10 6abe30
-1 1 10 6abe30
-4 2 10 6abe30
-3 2 10 6abe30
-2 2 10 6abe30
-1 2 10 6abe30
-4 0 11 6abe30
-3 0 11 6abe30
-2 0 11 6abe30
-1 0 11 6abe30
-4 1 11 6abe30
-3 1 11 6abe30
-2 1 11 6abe30
-1 1 11 6abe30
-4 2 11 6abe30
-3 2 11 6abe30
-2 2 11 6abe30
-1 2 11 6abe30
-4 3 11 8f563b
-3 3 11 8f563b
-2 3 11 8f563b
-1 3 11 8f563b
-4 4 11 8f563b
-3 4 11 8f563b
-2 4 11 8f563b
-1 4 11 8f563b
-4 5 11 8f563b
-3 5 11 8f563b
-2 5 11 8f563b
-1 5 11 8f563b
-4 6 11 8f563b
-3 6 11 8f563b
-2 6 11 8f563b
-1 6 11 8f563b
-3 7 11 8f563b
-2 7 11 8f563b
-1 7 11 8f563b
-2 8 11 8f563b
-1 8 11 8f563b
-4 0 12 6abe30
-3 0 12 6abe30
-2 0 12 6abe30
-1 0 12 6abe30
-4 1 12 6abe30
-3 1 12 6abe30
-2 1 12 6abe30
-1 1 12 6abe30
-4 2 12 6abe30
-3 2 12 6abe30
-2 2 12 6abe30
-1 2 12 6abe30
-4 3 12 8f563b
-3 3 12 8f563b
-2 3 12 8f563b
-1 3 12 8f563b
-4 4 12 8f563b
-3 4 12 8f563b
-2 4 12 8f563b
-1 4 12 8f563b
-4 5 12 8f563b
-3 5 12 8f563b
-2 5 12 8f563b
-1 5 12 8f563b
-4 6 12 8f563b
-3 6 12 8f563b
-2 6 12 8f563b
-1 6 12 8f563b
-3 7 12 8f563b
-2 7 12 8f563b
-1 7 12 8f563b
-2 8 12 8f563b
-1 8 12 8f563b
-4 0 13 6abe30
-3 0 13 6abe30
-2 0 13 6abe30
-1 0 13 6abe30
-4 1 13 6abe30
-3 1 13 6abe30
-2 1 13 6abe30
-1 1 13 6abe30
-4 2 13 6abe30
-3 2 13 6abe30
-2 2 13 6abe30
-1 2 13 6abe30
-4 3 13 8f563b
-3 3 13 8f563b
-2 3 13 8f563b
-1 3 13 8f563b
-4 4 13 8f563b
-3 4 13 8f563b
-2 4 13 8f563b
-1 4 13 8f563b
-4 5 13 8f563b
-3 5 13 8f563b
-2 5 13 8f563b
-1 5 13 8f563b
-4 6 13 8f563b
-3 6 13 8f563b
-2 6 13 8f563b
-1 6 13 8f563b
-3 7 13 8f563b
-2 7 13 8f563b
-1 7 13 8f563b
-2 8 13 8f563b
-1 8 13 8f563b
-4 0 14 6abe30
-3 0 14 6abe30
-2 0 14 6abe30
-1 0 14 6abe30
-4 1 14 6abe30
-3 1 14 6abe30
-2 1 14 6abe30
-1 1 14 6abe30
-4 2 14 6abe30
-3 2 14 6abe30
-2 2 14 6abe30
-1 2 14 6abe30
0 0 0 45283c
1 0 0 45283c
0 1 0 45283c
0 0 1 45283c
6 3 5 45283c
6 4 5 45283c
6 5 5 45283c
6 6 5 45283c
6 2 6 45283c
6 3 6 663931
6 4 6 663931
6 5 6 663931
6 6 6 663931
6 7 6 45283c
6 1 7 45283c
6 2 7 663931
6 3 7 663931
6 4 7 ac3232
6 5 7 ac3232
6 6 7 663931
6 7 7 663931
6 8 7 45283c
6 0 8 45283c
6 1 8 663931
6 2 8 663931
6 3 8 663931
6 4 8 ac3232
6 5 8 ac3232
6 6 8 663931
6 7 8 663931
6 8 8 663931
6 9 8 45283c
6 0 9 663931
6 1 9 663931
6 2 9 663931
6 3 9 663931
6 4 9 ac3232
6 5 9 ac3232
6 6 9 663931
6 7 9 663931
6 8 9 663931
6 9 9 663931
6 10 9 45283c
6 0 10 663931
6 1 10 663931
6 2 10 663931
6 3 10 ac3232
6 4 10 ac3232
6 5 10 ac3232
6 6 10 ac3232
6 7 10 663931
6 8 10 663931
6 9 10 663931
6 10 10 45283c
6 0 11 663931
6 1 11 663931
6 2 11 663931
6 3 11 ac3232
6 4 11 ac3232
6 5 11 ac3232
0 6 11 8f563b
1 6 11 8f563b
2 6 11 8f563b
3 6 11 8f563b
4 6 11 eec39a
5 6 11 eec39a
6 6 11 ac3232
0 7 11 8f563b
1 7 11 8f563b
2 7 11 8f563b
3 7 11 8f563b
4 7 11 eec39a
5 7 11 eec39a
6 7 11 663931
0 8 11 8f563b
1 8 11 8f563b
2 8 11 8f563b
3 8 11 8f563b
4 8 11 eec39a
5 8 11 eec39a
6 8 11 663931
6 9 11 663931
6 10 11 45283c
6 0 12 663931
6 1 12 663931
6 2 12 663931
6 3 12 663931
6 4 12 ac3232
6 5 12 ac3232
0 6 12 8f563b
1 6 12 8f563b
2 6 12 8f563b
3 6 12 8f563b
4 6 12 eec39a
5 6 12 eec39a
6 6 12 663931
0 7 12 8f563b
1 7 12 8f563b
2 7 12 8f563b
3 7 12 8f563b
4 7 12 eec39a
5 7 12 eec39a
6 7 12 663931
0 8 12 8f563b
1 8 12 8f563b
2 8 12 8f563b
3 8 12 8f563b
4 8 12 eec39a
5 8 12 eec39a
6 8 12 663931
6 9 12 663931
6 10 12 45283c
6 0 13 663931
6 1 13 663931
6 2 13 663931
6 3 13 663931
6 4 13 663931
6 5 13 663931
0 6 13 8f563b
1 6 13 8f563b
2 6 13 8f563b
3 6 13 8f563b
4 6 13 eec39a
5 6 13 eec39a
6 6 13 663931
0 7 13 8f563b
1 7 13 8f563b
2 7 13 8f563b
3 7 13 8f563b
4 7 13 eec39a
5 7 13 eec39a
6 7 13 663931
0 8 13 8f563b
1 8 13 8f563b
2 8 13 8f563b
3 8 13 8f563b
4 8 13 eec39a
5 8 13 eec39a
6 8 13 663931
6 9 13 663931
6 10 13 45283c
6 0 14 45283c
6 1 14 45283c
6 2 14 45283c
6 3 14 45283c
6 4 14 45283c
6 5 14 45283c
6 6 14 45283c
6 7 14 45283c
6 8 14 45283c
6 9 14 45283c
6 10 14 45283c
-5 -7 16 df7126
-5 -6 16 df7126
-4 -6 16 df7126
-3 -6 16 eec39a
-2 -6 16 df7126
-1 -6 16 eec39a
-5 -5 16 df7126
-4 -5 16 eec39a
-3 -5 16 eec39a
-2 -5 16 eec39a
-1 -5 16 eec39a
-5 -4 16 df7126
-4 -4 16 eec39a
-3 -4 16 eec39a
-2 -4 16 eec39a
-1 -4 16 eec39a
-5 -3 16 df7126
-4 -3 16 eec39a
-3 -3 16 eec39a
-2 -3 16 eec39a
-1 -3 16 eec39a
-5 -2 16 df7126
-4 -2 16 eec39a
-3 -2 16 eec39a
-2 -2 16 eec39a
-1 -2 16 eec39a
-5 -1 16 df7126
-4 -1 16 df7126
-3 -1 16 eec39a
-2 -1 16 df7126
-1 -1 16 eec39a
-3 -7 17 eec39a
-5 -6 17 df7126
-4 -6 17 df7126
-3 -6 17 eec39a
-2 -6 17 df7126
-1 -6 17 eec39a
-5 -5 17 df7126
-4 -5 17 eec39a
-3 -5 17 eec39a
-2 -5 17 eec39a
-1 -5 17 eec39a
-5 -4 17 df7126
-4 -4 17 eec39a
-3 -4 17 eec39a
-2 -4 17 eec39a
-1 -4 17 eec39a
-5 -3 17 df7126
-4 -3 17 eec39a
-3 -3 17 eec39a
-2 -3 17 eec39a
-1 -3 17 eec39a
-5 -2 17 df7126
-4 -2 17 eec39a
-3 -2 17 eec39a
-2 -2 17 eec39a
-1 -2 17 eec39a
-5 -1 17 df7126
-4 -1 17 df7126
-3 -1 17 eec39a
-2 -1 17 df7126
-1 -1 17 eec39a
-3 -7 18 eec39a
-5 -6 18 df7126
-4 -6 18 df7126
-3 -6 18 eec39a
-2 -6 18 df7126
-1 -6 18 df7126
-5 -5 18 df7126
-4 -5 18 eec39a
-3 -5 18 eec39a
-2 -5 18 eec39a
-1 -5 18 eec39a
-5 -4 18 df7126
-4 -4 18 eec39a
-3 -4 18 eec39a
-2 -4 18 eec39a
-1 -4 18 eec39a
-5 -3 18 df7126
-4 -3 18 eec39a
-3 -3 18 eec39a
-2 -3 18 eec39a
-1 -3 18 eec39a
-5 -2 18 df7126
-4 -2 18 eec39a
-3 -2 18 eec39a
-2 -2 18 eec39a
-1 -2 18 eec39a
-5 -1 18 df7126
-4 -1 18 df7126
-3 -1 18 eec39a
-2 -1 18 df7126
-1 -1 18 df7126
-5 -6 19 df7126
-4 -6 19 99e550
-3 -6 19 99e550
-2 -6 19 99e550
-1 -6 19 99e550
-5 -5 19 df7126
-4 -5 19 eec39a
-3 -5 19 eec39a
-2 -5 19 eec39a
-1 -5 19 99e550
-5 -4 19 df7126
-4 -4 19 eec39a
-3 -4 19 eec39a
-2 -4 19 eec39a
-1 -4 19 99e550
-5 -3 19 df7126
-4 -3 19 eec39a
-3 -3 19 eec39a
-2 -3 19 eec39a
-1 -3 19 99e550
-5 -2 19 df7126
-4 -2 19 eec39a
-3 -2 19 eec39a
-2 -2 19 eec39a
-1 -2 19 99e550
-5 -1 19 df7126
-4 -1 19 99e550
-3 -1 19 99e550
-2 -1 19 99e550
-1 -1 19 99e550
-4 -6 20 99e550
-3 -6 20 6abe30
-2 -6 20 99e550
-1 -6 20 99e550
-4 -5 20 99e550
-3 -5 20 99e550
-2 -5 20 99e550
-1 -5 20 99e550
-4 -4 20 99e550
-3 -4 20 99e550
-2 -4 20 99e550
-1 -4 20 99e550
-4 -3 20 99e550
-3 -3 20 99e550
-2 -3 20 99e550
-1 -3 20 99e550
-4 -2 20 99e550
-3 -2 20 99e550
-2 -2 20 99e550
-1 -2 20 99e550
-4 -1 20 99e550
-3 -1 20 6abe30
-2 -1 20 99e550
-1 -1 20 99e550
-6 -6 21 6abe30
-5 -6 21 6abe30
-4 -6 21 6abe30
-3 -6 21 6abe30
-2 -6 21 6abe30
-1 -6 21 99e550
-6 -5 21 6abe30
-5 -5 21 6abe30
-4 -5 21 6abe30
-3 -5 21 99e550
-2 -5 21 99e550
-1 -5 21 99e550
-6 -4 21 6abe30
-5 -4 21 6abe30
-4 -4 21 6abe30
-3 -4 21 99e550
-2 -4 21 99e550
-1 -4 21 99e550
-6 -3 21 6abe30
-5 -3 21 6abe30
-4 -3 21 6abe30
-3 -3 21 99e550
-2 -3 21 99e550
-1 -3 21 99e550
-6 -2 21 6abe30
-5 -2 21 6abe30
-4 -2 21 6abe30
-3 -2 21 99e550
-2 -2 21 99e550
-1 -2 21 99e550
-4 -1 21 6abe30
-3 -1 21 6abe30
-2 -1 21 6abe30
-1 -1 21 99e550
-6 -6 22 6abe30
-5 -6 22 6abe30
-4 -6 22 6abe30
-3 -6 22 6abe30
-2 -6 22 6abe30
-1 -6 22 99e550
-9 -5 22 6abe30
-8 -5 22 6abe30
-7 -5 22 6abe30
-6 -5 22 6abe30
-5 -5 22 6abe30
-4 -5 22 6abe30
-3 -5 22 6abe30
-2 -5 22 6abe30
-1 -5 22 99e550
-10 -4 22 6abe30
-9 -4 22 6abe30
-8 -4 22 6abe30
-7 -4 22 6abe30
-6 -4 22 6abe30
-5 -4 22 6abe30
-4 -4 22 6abe30
-3 -4 22 6abe30
-2 -4 22 6abe30
-1 -4 22 99e550
-9 -3 22 6abe30
-8 -3 22 6abe30
-7 -3 22 6abe30
-6 -3 22 6abe30
-5 -3 22 6abe30
-4 -3 22 6abe30
-3 -3 22 6abe30
-2 -3 22 6abe30
-1 -3 22 99e550
-7 -2 22 6abe30
-6 -2 22 6abe30
-5 -2 22 6abe30
-4 -2 22 6abe30
-3 -2 22 6abe30
-2 -2 22 6abe30
-1 -2 22 99e550
-4 -1 22 6abe30
-3 -1 22 6abe30
-2 -1 22 6abe30
-1 -1 22 99e550
